###
# timestamp: 2456148.862618
# Gaussian 1 [amp, RV +/- err, wid]: [0.88, -19.59 +/- 0.03, 3.06]
# Gaussian 2 [amp, RV +/- err, wid]: [0.13, -13.71 +/- 0.49, 18.36]
# Uncorrected_RV, BF_amp, Gaussian_fit
###
127.5 0.0 4.50745437698e-14
126.0 0.0 7.88104372466e-14
124.5 0.000780556258323 1.3704040344e-13
123.0 0.000783002016581 2.36987813501e-13
121.5 0.000631250977236 4.07582842505e-13
120.0 0.000350646395611 6.97137215709e-13
118.5 0.000164136509545 1.18585922247e-12
117.0 0.000102718960241 2.00613658234e-12
115.5 0.000122666600167 3.37520653727e-12
114.0 0.000237196126316 5.64745402036e-12
112.5 0.000361716715648 9.39761281616e-12
111.0 0.000365326247276 1.55523093579e-11
109.5 0.000321602885466 2.55967436427e-11
108.0 3.90571840688e-05 4.18973973403e-11
106.5 -0.000417631806726 6.82027468617e-11
105.0 -0.000541672344444 1.10415280732e-10
103.5 -0.00052831050215 1.77774305172e-10
102.0 -0.000548150489717 2.84656623029e-10
100.5 -0.000283399808891 4.53300387147e-10
99.0 0.000147648958268 7.17899054201e-10
97.5 0.000604135977186 1.13071503368e-09
96.0 0.00115939841761 1.7711504176e-09
94.5 0.00129733168822 2.75911764987e-09
93.0 0.00124569068417 4.27461973982e-09
91.5 0.00129206550985 6.58623539693e-09
90.0 0.00125504758133 1.00922849588e-08
88.5 0.0012822911688 1.53799263004e-08
87.0 0.00106929187937 2.33094216692e-08
85.5 0.000739111853032 3.51334854455e-08
84.0 0.000728751137627 5.26651673639e-08
82.5 0.000858546011606 7.85123894613e-08
81.0 0.000962290768479 1.16403332902e-07
79.5 0.00108434129713 1.71634713679e-07
78.0 0.00116697266614 2.51685003111e-07
76.5 0.00138559115773 3.67047306277e-07
75.0 0.00144739030377 5.32352426534e-07
73.5 0.00119717881758 7.67872172035e-07
72.0 0.000951214260316 1.10151677115e-06
70.5 0.000795069808837 1.57146890876e-06
69.0 0.000596384749448 2.22963085717e-06
67.5 0.000521216787088 3.14610080255e-06
66.0 0.00069613004667 4.4149398894e-06
64.5 0.00098086555905 6.16154252835e-06
63.0 0.00115799501047 8.55197849339e-06
61.5 0.000975367863539 1.18047350416e-05
60.0 0.000750470054951 1.62053487416e-05
58.5 0.000413966581373 2.21244770126e-05
57.0 3.78565014558e-05 3.00400146045e-05
55.5 -0.00027501017078 4.05639052474e-05
54.0 -0.000360210932695 5.44743270389e-05
52.5 -0.000299682196048 7.27539340583e-05
51.0 -0.000344307974214 9.66348072015e-05
49.5 -0.000473343911945 0.000127650694221
48.0 -0.000471882939111 0.000167696991598
46.5 -0.000401743474117 0.000219098728067
45.0 -0.000516888876643 0.000284686540666
43.5 -0.000764932729034 0.000367880279769
42.0 -0.0010573660427 0.000472779432603
40.5 -0.00125378393325 0.000604259011952
39.0 -0.00120512413002 0.000768068919554
37.5 -0.00108658712659 0.000970934070088
36.0 -0.00101839835598 0.00122065176708
34.5 -0.000721945947788 0.00152618198091
33.0 -0.00063714697462 0.00189772532521
31.5 -0.000501278069903 0.0023467827054
30.0 -0.000103042205548 0.00288618987522
28.5 0.000287455244448 0.00353011954544
27.0 0.000564456988982 0.00429404331338
25.5 0.000767344281353 0.00519464559225
24.0 0.00102226469447 0.00624968198921
22.5 0.00110655060474 0.00747777527539
21.0 0.00127558714176 0.00889814326551
19.5 0.00129128951199 0.0105302546178
18.0 0.00111937116074 0.0123934107908
