###
# timestamp: 2456366.9238749
# Gaussian 1 [amp, RV +/- err, wid]: [0.83, -37.45 +/- 0.04, 6.54]
# Gaussian 2 [amp, RV +/- err, wid]: [0.17, -25.00 +/- 0.00, 40.00]
# Uncorrected_RV, BF_amp, Gaussian_fit
###
127.5 0.0 0.000120760309828
126.0 0.0 0.00013922248924
124.5 0.00208284886122 0.000160281664471
123.0 0.00154562295371 0.000184267000503
121.5 0.00160210262595 0.000211543927189
120.0 0.00158532516505 0.00024251736001
118.5 0.000512727281335 0.000277635102477
117.0 -0.000533890790108 0.000317391426314
115.5 -0.000543845824283 0.000362330823108
114.0 -0.000279292641743 0.000413051918405
112.5 -0.00113831015465 0.000470211536206
111.0 -0.002597864897 0.000534528898534
109.5 -0.00293570821351 0.000606789941166
108.0 -0.00246472387428 0.000687851722776
106.5 -0.00245073223055 0.000778646900623
105.0 -0.00299230223884 0.000880188241581
103.5 -0.00338697244337 0.000993573132729
102.0 -0.00279758014723 0.001119988051
100.5 -0.00165527931923 0.00126071294651
99.0 -0.00141820546142 0.00141712548912
97.5 -0.00283648146731 0.00159070512298
96.0 -0.00353927436092 0.00178303686858
94.5 -0.00279985611622 0.00199581480696
93.0 -0.00218908872521 0.00223084517632
91.5 -0.00205265076043 0.00249004900624
90.0 -0.00166461223582 0.00277546421114
88.5 -0.00155598213882 0.00308924706058
87.0 -0.00160878556104 0.0034336729409
85.5 -0.00188336847888 0.00381113632042
84.0 -0.00217169574852 0.00422414982835
82.5 -0.00216791603562 0.00467534235699
81.0 -0.00197396820727 0.00516745609674
79.5 -0.00171258879702 0.00570334241456
78.0 -0.000638557736747 0.00628595648925
76.5 0.000484252583337 0.00691835061995
75.0 0.000224208511247 0.00760366612995
73.5 -0.000435519817606 0.00834512379389
72.0 -0.000509759886818 0.00914601272453
70.5 -0.000265164054009 0.0100096776649
69.0 0.000484797150414 0.0109395046426
67.5 0.00120221491917 0.0119389049557
66.0 0.001090668874 0.0130112974736
64.5 0.000805664653538 0.0141600892541
63.0 0.00120976087853 0.0153886544904
61.5 0.00194402196024 0.0167003118266
60.0 0.00217807942294 0.0180983000958
58.5 0.0024138527329 0.019585752556
57.0 0.00270678669905 0.0211656697247
55.5 0.00200573020272 0.0228408909307
54.0 0.00132749032576 0.0246140647288
52.5 0.000982463343297 0.026487618344
51.0 0.000709465924201 0.0284637263364
49.5 0.000484536780419 0.0305442787006
48.0 0.000417904645053 0.0327308486341
46.5 0.000268393262704 0.0350246602339
45.0 -0.000670646547511 0.0374265563958
43.5 -0.00163566568951 0.0399369672119
42.0 -0.00177220984713 0.0425558791772
40.5 -0.00189298448719 0.0452828055274
39.0 -0.00233433243837 0.0481167580432
37.5 -0.00222128825091 0.0510562206628
36.0 -0.000982247862732 0.0540991252452
34.5 -0.000248091344826 0.0572428298332
33.0 0.000367403549823 0.0604840997534
31.5 0.00155463310412 0.0638190918895
30.0 0.00229848938729 0.0672433424464
28.5 0.0026985688593 0.0707517585116
27.0 0.00297828434162 0.0743386136933
25.5 0.00341963922391 0.0779975480939
24.0 0.00356074968541 0.0817215728434
22.5 0.00406160325393 0.0855030793858
21.0 0.00432144743344 0.0893338536711
19.5 0.00361131251477 0.093205095366
18.0 0.00284693515599 0.0971074421483
16.5 0.00258649111928 0.101030999108
15.0 0.00297906262728 0.104965373229
13.5 0.00304023673487 0.108899712909
12.0 0.00289841195924 0.112822752521
10.5 0.00355220381245 0.116722862335
9.0 0.00471295878664 0.120588105338
7.5 0.00464735093245 0.124406306251
6.0 0.0046501039425 0.128165149311
4.5 0.00609956701697 0.131852351818
3.0 0.00747666976307 0.135456037484
1.5 0.00734216447688 0.138965613206
0.0 0.00692060905484 0.142373837924
-1.5 0.0074970846453 0.145681522309
-3.0 0.00839672011176 0.148907605538
-4.5 0.00822129349091 0.15210933263
-6.0 0.00765769381896 0.155419677912
-7.5 0.00772259596407 0.159111049383
-9.0 0.00825571633474 0.163693505905
-10.5 0.00892225393275 0.170048843297
-12.0 0.00927938699021 0.179585341241
-13.5 0.0101025205368 0.194370407784
-15.0 0.011467604415 0.217164636881
-16.5 0.0137606080744 0.251255067959
-18.0 0.0168148413012 0.299990351479
-19.5 0.0205973125804 0.365978954055
-21.0 0.0250600342573 0.450030971486
-22.5 0.029954152754 0.550080183982
